"cas","isomer_id","target","melt","logk","nconf"
"50-33-9","50-33-9",1.50,1.060,3.160,15
"88-99-3","88-99-3",4.45,2.120,0.730,4
"13523-86-9","13523-86-9_S",2.36,1.700,1.750,11
"13523-86-9","13523-86-9_R",2.36,1.700,1.750,19
"36322-90-4","36322-90-4",1.27,1.990,2.520,2
"36322-90-4","36322-90-4_ZW",1.27,1.990,2.520,2
"59-46-1","59-46-1",3.70,0.610,2.140,46
"525-66-6","525-66-6_R",2.51,1.520,3.480,19
"525-66-6","525-66-6_S",2.51,1.520,3.480,18
"72402-53-0","72402-53-0",3.20,0.570,3.440,6
"72402-53-0","72402-53-0_reflect",3.20,0.570,3.440,4
"66357-35-5","66357-35-5",3.90,0.695,0.270,4
"98105-99-8","98105-99-8",2.87,2.590,0.720,4
"98105-99-8","98105-99-8_ZW",2.87,2.590,0.720,2
"110871-86-8","110871-86-8",2.63,2.640,-0.020,8
"110871-86-8","110871-86-8_ZW",2.63,2.640,-0.020,8
"144-80-9","144-80-9",4.50,1.830,-0.960,8
"57-68-1","57-68-1",3.36,1.960,0.190,4
"599-79-1","599-79-1",-0.21,2.350,2.990,12
"72-14-0","72-14-0",3.38,1.880,0.050,8
"38194-50-2","38194-50-2",1.04,1.740,3.420,32
"94-24-6","94-24-6",2.95,1.490,3.510,214
"60-54-8","60-54-8_enol",3.00,1.650,-1.300,1
"60-54-8","60-54-8_keto",3.00,1.650,-1.300,2
"60-54-8","60-54-8_epienol",3.00,1.650,-1.300,1
"60-54-8","60-54-8_epiketo",3.00,1.650,-1.300,1
"60-54-8","60-54-8_enolreflect",3.00,1.650,-1.300,2
"60-54-8","60-54-8_ketoreflect",3.00,1.650,-1.300,2
"60-54-8","60-54-8_epienolreflect",3.00,1.650,-1.300,2
"60-54-8","60-54-8_epiketoreflect",3.00,1.650,-1.300,1
"60-54-8","60-54-8_enolZW",3.00,1.650,-1.300,1
"60-54-8","60-54-8_ketoZW",3.00,1.650,-1.300,1
"60-54-8","60-54-8_epienolZW",3.00,1.650,-1.300,1
"60-54-8","60-54-8_epiketoZW",3.00,1.650,-1.300,1
"60-54-8","60-54-8_enolreflectZW",3.00,1.650,-1.300,1
"60-54-8","60-54-8_ketoreflectZW",3.00,1.650,-1.300,1
"60-54-8","60-54-8_epienolreflectZW",3.00,1.650,-1.300,1
"60-54-8","60-54-8_epiketoreflectZW",3.00,1.650,-1.300,1
"89-83-8","89-83-8",3.82,0.503,3.300,2
"26171-23-3","26171-23-3",1.89,1.560,2.790,8
"133-67-5","133-67-5_R",2.62,1.400,0.620,36
"133-67-5","133-67-5_S",2.62,1.400,0.620,36
"738-70-5","738-70-5",3.33,2.000,0.910,8
"739-71-9","739-71-9_R",1.21,1.21,0.450,8
"739-71-9","739-71-9_S",1.21,1.21,0.450,8
"61-54-1","61-54-1",2.70,1.180,1.550,21
"52-53-9","52-53-9_R",1.93,0.250,3.790,5
"52-53-9","52-53-9_S",1.93,0.250,3.790,5
"81-81-2","81-81-2_R",1.20,1.610,2.700,4
"81-81-2","81-81-2_S",1.20,1.610,2.700,4
"81-81-2","81-81-2_rcRR",1.20,1.610,2.700,2
"81-81-2","81-81-2_rcRS",1.20,1.610,2.700,2
"81-81-2","81-81-2_rcSR",1.20,1.610,2.700,2
"81-81-2","81-81-2_rcSS",1.20,1.610,2.700,2
"129722-12-9","129722-12-9",-0.64,1.39,5.41,5
"137732-39-9","137732-39-9_4H12N",-0.07,2.17,5.8,1
"137732-39-9","137732-39-9_3H14N",-0.07,2.17,5.8,9
"65-85-0","65-85-0",4.41,1.23,1.87,1
"83-44-3","83-44-3",1.38,1.75,3.5,4
"83-44-3","83-44-3_reflect",1.38,1.75,3.5,3
"53179-11-6","53179-11-6",-1.1,2.28,5.13,8
"569-65-3","569-65-3_R",-0.48,2.2,5.8,18
"569-65-3","569-65-3_S",-0.48,2.2,5.8,17
"79617-96-2","79617-96-2",0.78,2.44,5.51,7
"79617-96-2","79617-96-2_reflect",0.78,2.44,5.51,7
"10540-29-1","10540-29-1",-1.52,0.97,7.1,32
